	D1-35	D10-7	D11-1	D2-1-6	D2-2	D3-D-27	D3-K-57	D4-185	D5-8	D6-5	D7-157	D8-8	D9-4
augustus_masked-SEQ_1762380-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_616883-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1785872-processed-gene-0.5-mRNA-1	maker-SEQ_3533393-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_2590322-processed-gene-0.1-mRNA-1	genemark-SEQ_1542944-processed-gene-0.0-mRNA-1	maker-SEQ_695017-augustus-gene-0.2-mRNA-1	maker-SEQ_1734915-augustus-gene-0.2-mRNA-1	maker-SEQ_4114794-augustus-gene-0.2-mRNA-1	genemark-SEQ_371368-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2376392-processed-gene-0.1-mRNA-1	genemark-SEQ_1529044-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3510641-processed-gene-0.0-mRNA-1
maker-SEQ_1762924-augustus-gene-0.8-mRNA-1	maker-SEQ_621094-augustus-gene-0.61-mRNA-1	genemark-SEQ_1726615-processed-gene-0.2-mRNA-1	genemark-SEQ_3524778-processed-gene-0.1-mRNA-1	maker-SEQ_2057302-augustus-gene-0.5-mRNA-1	maker-SEQ_1587380-augustus-gene-0.7-mRNA-1	maker-SEQ_1616847-augustus-gene-0.4-mRNA-1	genemark-SEQ_3014155-processed-gene-0.1-mRNA-1	maker-SEQ_1118987-augustus-gene-0.2-mRNA-1	maker-SEQ_1606965-augustus-gene-0.4-mRNA-1	maker-SEQ_401151-augustus-gene-0.4-mRNA-1	maker-SEQ_1477740-augustus-gene-0.8-mRNA-1	genemark-SEQ_3624938-processed-gene-0.2-mRNA-1
maker-SEQ_1762924-augustus-gene-0.9-mRNA-1	maker-SEQ_621094-augustus-gene-0.60-mRNA-1	maker-SEQ_1734718-augustus-gene-0.5-mRNA-1	maker-SEQ_3503114-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_717020-processed-gene-0.1-mRNA-1	maker-SEQ_1587380-augustus-gene-0.6-mRNA-1	maker-SEQ_1616847-augustus-gene-0.5-mRNA-1	genemark-SEQ_2519915-processed-gene-0.1-mRNA-1	genemark-SEQ_1855125-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1601703-processed-gene-0.1-mRNA-1	maker-SEQ_375731-augustus-gene-0.2-mRNA-1	maker-SEQ_1477740-augustus-gene-0.9-mRNA-1	maker-SEQ_3630993-augustus-gene-0.4-mRNA-1
augustus_masked-SEQ_1763404-processed-gene-0.0-mRNA-1	genemark-SEQ_602530-processed-gene-0.10-mRNA-1	augustus_masked-SEQ_1730336-processed-gene-0.7-mRNA-1	augustus_masked-SEQ_3479765-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_162696-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_145741-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1564729-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3041706-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_4114987-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1616920-processed-gene-0.5-mRNA-1	genemark-SEQ_1522126-processed-gene-0.0-mRNA-1	genemark-SEQ_1521683-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_3629321-processed-gene-0.0-mRNA-1
maker-SEQ_1763481-augustus-gene-0.5-mRNA-1	maker-SEQ_613242-augustus-gene-0.13-mRNA-1	augustus_masked-SEQ_1746143-processed-gene-0.2-mRNA-1	genemark-SEQ_2304105-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2210251-processed-gene-0.2-mRNA-1	maker-SEQ_1609458-augustus-gene-0.7-mRNA-1	augustus_masked-SEQ_561553-processed-gene-0.0-mRNA-1	genemark-SEQ_654406-processed-gene-0.1-mRNA-1	maker-SEQ_634703-augustus-gene-0.2-mRNA-1	maker-SEQ_1605359-augustus-gene-0.2-mRNA-1	maker-SEQ_1871648-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1523818-processed-gene-0.2-mRNA-1	maker-SEQ_3559113-augustus-gene-0.5-mRNA-1
maker-SEQ_1763968-augustus-gene-0.9-mRNA-1	maker-SEQ_622012-augustus-gene-0.27-mRNA-1	genemark-SEQ_1779586-processed-gene-0.1-mRNA-1	maker-SEQ_3520889-augustus-gene-0.2-mRNA-1	genemark-SEQ_438728-processed-gene-0.0-mRNA-1	maker-SEQ_1552917-augustus-gene-0.8-mRNA-1	maker-SEQ_1578661-augustus-gene-0.8-mRNA-1	genemark-SEQ_3115555-processed-gene-0.1-mRNA-1	genemark-SEQ_4863434-processed-gene-0.1-mRNA-1	maker-SEQ_1607082-augustus-gene-0.7-mRNA-1	maker-SEQ_3134543-augustus-gene-0.2-mRNA-1	maker-SEQ_1528193-augustus-gene-0.8-mRNA-1	maker-SEQ_3608311-augustus-gene-0.2-mRNA-1
maker-SEQ_1763968-augustus-gene-0.8-mRNA-1	genemark-SEQ_622012-processed-gene-0.13-mRNA-1	maker-SEQ_1779586-augustus-gene-0.8-mRNA-1	maker-SEQ_3497480-augustus-gene-0.5-mRNA-1	maker-SEQ_543656-augustus-gene-0.2-mRNA-1	maker-SEQ_1552917-augustus-gene-0.7-mRNA-1	maker-SEQ_1578661-augustus-gene-0.7-mRNA-1	maker-SEQ_765633-augustus-gene-0.3-mRNA-1	maker-SEQ_3479625-augustus-gene-0.4-mRNA-1	maker-SEQ_1607082-augustus-gene-0.8-mRNA-1	maker-SEQ_3175712-augustus-gene-0.2-mRNA-1	maker-SEQ_1528193-augustus-gene-0.9-mRNA-1	maker-SEQ_3542119-augustus-gene-0.6-mRNA-1
augustus_masked-SEQ_1763319-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_616507-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1737895-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3482558-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_720323-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1602446-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_1634204-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_342793-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_4732352-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1608307-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_2742233-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1532032-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3557354-processed-gene-0.0-mRNA-1
augustus_masked-SEQ_1763345-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_617360-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1783704-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3517636-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_2554620-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1609256-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1608343-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1850406-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1273481-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1654119-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3132426-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1518912-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3615679-processed-gene-0.0-mRNA-1
augustus_masked-SEQ_1763405-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_589773-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1701616-processed-gene-0.6-mRNA-1	augustus_masked-SEQ_3522001-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_925304-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1600695-processed-gene-0.7-mRNA-1	augustus_masked-SEQ_1635397-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1572926-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2208119-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1654795-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_3189301-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1530959-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_3533611-processed-gene-0.0-mRNA-1
maker-SEQ_1763778-augustus-gene-0.2-mRNA-1	maker-SEQ_588124-augustus-gene-0.6-mRNA-1	maker-SEQ_778931-augustus-gene-0.2-mRNA-1	maker-SEQ_3502841-augustus-gene-0.2-mRNA-1	maker-SEQ_2522921-augustus-gene-0.2-mRNA-1	maker-SEQ_1582358-augustus-gene-0.2-mRNA-1	genemark-SEQ_1619684-processed-gene-0.1-mRNA-1	maker-SEQ_3098269-augustus-gene-0.2-mRNA-1	maker-SEQ_3243132-augustus-gene-0.2-mRNA-1	maker-SEQ_1614115-augustus-gene-0.2-mRNA-1	maker-SEQ_3214794-augustus-gene-0.2-mRNA-1	maker-SEQ_1530779-augustus-gene-0.2-mRNA-1	maker-SEQ_3604299-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_1763643-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_615402-processed-gene-0.0-mRNA-1	maker-SEQ_1758508-augustus-gene-0.2-mRNA-1	genemark-SEQ_2470166-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_360152-processed-gene-0.1-mRNA-1	maker-SEQ_1584184-augustus-gene-0.2-mRNA-1	maker-SEQ_1615694-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1781398-processed-gene-0.0-mRNA-1	maker-SEQ_2239397-augustus-gene-0.2-mRNA-1	genemark-SEQ_1617834-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_84207-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1460441-processed-gene-0.1-mRNA-1	genemark-SEQ_3593943-processed-gene-0.1-mRNA-1
maker-SEQ_1763922-augustus-gene-0.15-mRNA-1	augustus_masked-SEQ_620734-processed-gene-0.2-mRNA-1	maker-SEQ_1780028-augustus-gene-0.14-mRNA-1	augustus_masked-SEQ_3536814-processed-gene-0.2-mRNA-1	genemark-SEQ_2518931-processed-gene-0.0-mRNA-1	maker-SEQ_1572147-augustus-gene-0.9-mRNA-1	maker-SEQ_1631469-augustus-gene-0.9-mRNA-1	genemark-SEQ_720983-processed-gene-0.2-mRNA-1	maker-SEQ_1152440-augustus-gene-0.11-mRNA-1	maker-SEQ_1602131-augustus-gene-0.10-mRNA-1	genemark-SEQ_533076-processed-gene-0.1-mRNA-1	maker-SEQ_1527944-augustus-gene-0.9-mRNA-1	maker-SEQ_3559908-augustus-gene-0.11-mRNA-1
maker-SEQ_1763922-augustus-gene-0.16-mRNA-1	maker-SEQ_620734-augustus-gene-0.26-mRNA-1	maker-SEQ_1780028-augustus-gene-0.13-mRNA-1	genemark-SEQ_3536814-processed-gene-0.5-mRNA-1	maker-SEQ_2564435-augustus-gene-0.4-mRNA-1	maker-SEQ_1572147-augustus-gene-0.10-mRNA-1	maker-SEQ_1631469-augustus-gene-0.10-mRNA-1	maker-SEQ_997133-augustus-gene-0.4-mRNA-1	genemark-SEQ_1152440-processed-gene-0.6-mRNA-1	augustus_masked-SEQ_1602131-processed-gene-0.5-mRNA-1	genemark-SEQ_3204592-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1527944-processed-gene-0.6-mRNA-1	genemark-SEQ_3559908-processed-gene-0.6-mRNA-1
genemark-SEQ_1763429-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_619010-processed-gene-0.2-mRNA-1	genemark-SEQ_1718673-processed-gene-0.1-mRNA-1	maker-SEQ_3502142-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_2281044-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1392930-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1573727-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2354544-processed-gene-0.0-mRNA-1	genemark-SEQ_4859660-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1605096-processed-gene-0.1-mRNA-1	maker-SEQ_3195257-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1499631-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3624428-processed-gene-0.0-mRNA-1
genemark-SEQ_1763555-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_620632-processed-gene-0.13-mRNA-1	augustus_masked-SEQ_1766096-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3526260-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2537530-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1603070-processed-gene-0.7-mRNA-1	augustus_masked-SEQ_1609743-processed-gene-0.2-mRNA-1	genemark-SEQ_3081458-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_2100183-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1603784-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3143399-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1533947-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_3628326-processed-gene-0.0-mRNA-1
augustus_masked-SEQ_1763249-processed-gene-0.0-mRNA-1	maker-SEQ_618978-augustus-gene-0.30-mRNA-1	augustus_masked-SEQ_1725357-processed-gene-0.1-mRNA-1	maker-SEQ_3527589-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1851404-processed-gene-0.1-mRNA-1	maker-SEQ_1562838-augustus-gene-0.3-mRNA-1	maker-SEQ_1603483-augustus-gene-0.6-mRNA-1	maker-SEQ_1073531-augustus-gene-0.2-mRNA-1	genemark-SEQ_3204563-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1601306-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3077453-processed-gene-0.1-mRNA-1	genemark-SEQ_653159-processed-gene-0.0-mRNA-1	maker-SEQ_3629876-augustus-gene-0.4-mRNA-1
maker-SEQ_1763854-augustus-gene-0.5-mRNA-1	maker-SEQ_591885-augustus-gene-0.20-mRNA-1	maker-SEQ_1717299-augustus-gene-0.3-mRNA-1	maker-SEQ_3479528-augustus-gene-0.2-mRNA-1	genemark-SEQ_525747-processed-gene-0.0-mRNA-1	maker-SEQ_1606768-augustus-gene-0.5-mRNA-1	maker-SEQ_1632998-augustus-gene-0.5-mRNA-1	genemark-SEQ_1400325-processed-gene-0.1-mRNA-1	maker-SEQ_1810792-augustus-gene-0.3-mRNA-1	genemark-SEQ_1604538-processed-gene-0.0-mRNA-1	maker-SEQ_3198675-augustus-gene-0.3-mRNA-1	maker-SEQ_1520791-augustus-gene-0.5-mRNA-1	genemark-SEQ_3601176-processed-gene-0.1-mRNA-1
augustus_masked-SEQ_1764006-processed-gene-0.0-mRNA-1	maker-SEQ_593064-augustus-gene-0.7-mRNA-1	augustus_masked-SEQ_1710134-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2530346-processed-gene-0.0-mRNA-1	maker-SEQ_2575389-augustus-gene-0.4-mRNA-1	maker-SEQ_1560701-augustus-gene-0.2-mRNA-1	maker-SEQ_1609501-augustus-gene-0.2-mRNA-1	maker-SEQ_876185-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_3335784-processed-gene-0.0-mRNA-1	maker-SEQ_1323068-augustus-gene-0.2-mRNA-1	maker-SEQ_3218353-augustus-gene-0.3-mRNA-1	maker-SEQ_1497911-augustus-gene-0.2-mRNA-1	maker-SEQ_3521812-augustus-gene-0.2-mRNA-1
maker-SEQ_1763332-augustus-gene-0.7-mRNA-1	maker-SEQ_620541-augustus-gene-0.21-mRNA-1	genemark-SEQ_1717887-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3537459-processed-gene-0.0-mRNA-1	maker-SEQ_1521262-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1599360-processed-gene-0.5-mRNA-1	maker-SEQ_1633860-augustus-gene-0.4-mRNA-1	maker-SEQ_2297458-augustus-gene-0.2-mRNA-1	maker-SEQ_3461408-augustus-gene-0.2-mRNA-1	genemark-SEQ_1616521-processed-gene-0.0-mRNA-1	genemark-SEQ_2920965-processed-gene-0.0-mRNA-1	maker-SEQ_1533231-augustus-gene-0.4-mRNA-1	genemark-SEQ_3585598-processed-gene-0.1-mRNA-1
genemark-SEQ_1763332-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_620541-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1717887-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3506558-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1049275-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1599360-processed-gene-0.7-mRNA-1	augustus_masked-SEQ_1631218-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2749236-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3228323-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_899976-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3200939-processed-gene-0.3-mRNA-1	genemark-SEQ_1533231-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3560202-processed-gene-0.0-mRNA-1
maker-SEQ_1763684-augustus-gene-0.3-mRNA-1	maker-SEQ_606705-augustus-gene-0.17-mRNA-1	augustus_masked-SEQ_1772198-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3516225-processed-gene-0.0-mRNA-1	maker-SEQ_2090370-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1574202-processed-gene-0.2-mRNA-1	maker-SEQ_1581917-augustus-gene-0.4-mRNA-1	maker-SEQ_2040620-augustus-gene-0.3-mRNA-1	maker-SEQ_663194-augustus-gene-0.2-mRNA-1	maker-SEQ_52964-augustus-gene-0.3-mRNA-1	maker-SEQ_1380955-augustus-gene-0.2-mRNA-1	genemark-SEQ_1499972-processed-gene-0.1-mRNA-1	maker-SEQ_3560032-augustus-gene-0.2-mRNA-1
maker-SEQ_1763722-augustus-gene-0.4-mRNA-1	maker-SEQ_617887-augustus-gene-0.46-mRNA-1	augustus_masked-SEQ_1738255-processed-gene-0.2-mRNA-1	maker-SEQ_3531372-augustus-gene-0.4-mRNA-1	maker-SEQ_2577925-augustus-gene-0.3-mRNA-1	maker-SEQ_1592054-augustus-gene-0.4-mRNA-1	maker-SEQ_1602629-augustus-gene-0.4-mRNA-1	genemark-SEQ_2450920-processed-gene-0.0-mRNA-1	maker-SEQ_3010373-augustus-gene-0.2-mRNA-1	maker-SEQ_410457-augustus-gene-0.2-mRNA-1	maker-SEQ_2238162-augustus-gene-0.2-mRNA-1	maker-SEQ_1506999-augustus-gene-0.4-mRNA-1	maker-SEQ_3628298-augustus-gene-0.5-mRNA-1
maker-SEQ_1763469-augustus-gene-0.7-mRNA-1	maker-SEQ_587042-augustus-gene-0.16-mRNA-1	maker-SEQ_1779421-augustus-gene-0.6-mRNA-1	augustus_masked-SEQ_924442-processed-gene-0.0-mRNA-1	maker-SEQ_2534738-augustus-gene-0.2-mRNA-1	maker-SEQ_1546969-augustus-gene-0.2-mRNA-1	maker-SEQ_223476-augustus-gene-0.2-mRNA-1	maker-SEQ_3063129-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_2431741-processed-gene-0.0-mRNA-1	maker-SEQ_1652369-augustus-gene-0.4-mRNA-1	maker-SEQ_3173448-augustus-gene-0.2-mRNA-1	maker-SEQ_1529456-augustus-gene-0.9-mRNA-1	maker-SEQ_3615337-augustus-gene-0.4-mRNA-1
maker-SEQ_1763469-augustus-gene-0.9-mRNA-1	maker-SEQ_587042-augustus-gene-0.20-mRNA-1	maker-SEQ_1785627-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_3535461-processed-gene-0.0-mRNA-1	maker-SEQ_2509550-augustus-gene-0.2-mRNA-1	maker-SEQ_1568304-augustus-gene-0.5-mRNA-1	maker-SEQ_1582259-augustus-gene-0.5-mRNA-1	maker-SEQ_3065094-augustus-gene-0.3-mRNA-1	genemark-SEQ_2267376-processed-gene-0.1-mRNA-1	maker-SEQ_1659804-augustus-gene-0.4-mRNA-1	maker-SEQ_3153360-augustus-gene-0.3-mRNA-1	maker-SEQ_1529456-augustus-gene-0.7-mRNA-1	maker-SEQ_298129-augustus-gene-0.2-mRNA-1
maker-SEQ_1764118-augustus-gene-0.3-mRNA-1	augustus_masked-SEQ_616654-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1759301-processed-gene-0.2-mRNA-1	maker-SEQ_3500276-augustus-gene-0.2-mRNA-1	maker-SEQ_2090532-augustus-gene-0.4-mRNA-1	genemark-SEQ_1574408-processed-gene-0.0-mRNA-1	maker-SEQ_1587882-augustus-gene-0.2-mRNA-1	genemark-SEQ_2871754-processed-gene-0.1-mRNA-1	maker-SEQ_2775199-augustus-gene-0.2-mRNA-1	maker-SEQ_1620968-augustus-gene-0.2-mRNA-1	genemark-SEQ_2002509-processed-gene-0.0-mRNA-1	maker-SEQ_1530453-augustus-gene-0.3-mRNA-1	maker-SEQ_3584833-augustus-gene-0.3-mRNA-1
genemark-SEQ_1763665-processed-gene-0.4-mRNA-1	genemark-SEQ_608602-processed-gene-0.6-mRNA-1	maker-SEQ_1723792-augustus-gene-0.4-mRNA-1	maker-SEQ_3505615-augustus-gene-0.3-mRNA-1	genemark-SEQ_2584222-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1545029-processed-gene-0.2-mRNA-1	maker-SEQ_1597847-augustus-gene-0.2-mRNA-1	genemark-SEQ_3102269-processed-gene-0.2-mRNA-1	maker-SEQ_1184868-augustus-gene-0.2-mRNA-1	maker-SEQ_862185-augustus-gene-0.5-mRNA-1	genemark-SEQ_3157455-processed-gene-0.1-mRNA-1	maker-SEQ_1431934-augustus-gene-0.2-mRNA-1	maker-SEQ_3617136-augustus-gene-0.2-mRNA-1
maker-SEQ_1763561-augustus-gene-0.6-mRNA-1	maker-SEQ_616305-augustus-gene-0.25-mRNA-1	maker-SEQ_1750500-augustus-gene-0.3-mRNA-1	maker-SEQ_3508670-augustus-gene-0.3-mRNA-1	maker-SEQ_393537-augustus-gene-0.4-mRNA-1	maker-SEQ_1260370-augustus-gene-0.2-mRNA-1	maker-SEQ_1638505-augustus-gene-0.6-mRNA-1	maker-SEQ_3070269-augustus-gene-0.2-mRNA-1	maker-SEQ_2215150-augustus-gene-0.2-mRNA-1	maker-SEQ_1665130-augustus-gene-0.7-mRNA-1	maker-SEQ_3173990-augustus-gene-0.3-mRNA-1	maker-SEQ_1531261-augustus-gene-0.6-mRNA-1	maker-SEQ_3568375-augustus-gene-0.2-mRNA-1
maker-SEQ_1763791-augustus-gene-0.4-mRNA-1	maker-SEQ_618646-augustus-gene-0.25-mRNA-1	maker-SEQ_1777503-augustus-gene-0.6-mRNA-1	maker-SEQ_3531333-augustus-gene-0.8-mRNA-1	genemark-SEQ_1183722-processed-gene-0.0-mRNA-1	maker-SEQ_1608367-augustus-gene-0.6-mRNA-1	maker-SEQ_1640761-augustus-gene-0.7-mRNA-1	genemark-SEQ_3056015-processed-gene-0.1-mRNA-1	maker-SEQ_3093886-augustus-gene-0.2-mRNA-1	maker-SEQ_1659217-augustus-gene-0.6-mRNA-1	maker-SEQ_3193396-augustus-gene-0.3-mRNA-1	augustus_masked-SEQ_1520015-processed-gene-0.3-mRNA-1	maker-SEQ_3608146-augustus-gene-0.2-mRNA-1
maker-SEQ_1763470-augustus-gene-0.6-mRNA-1	maker-SEQ_606733-augustus-gene-0.56-mRNA-1	genemark-SEQ_1775493-processed-gene-0.2-mRNA-1	genemark-SEQ_3498798-processed-gene-0.1-mRNA-1	genemark-SEQ_127655-processed-gene-0.0-mRNA-1	maker-SEQ_1557475-augustus-gene-0.13-mRNA-1	maker-SEQ_1579993-augustus-gene-0.4-mRNA-1	genemark-SEQ_876679-processed-gene-0.3-mRNA-1	genemark-SEQ_77816-processed-gene-0.1-mRNA-1	maker-SEQ_1613208-augustus-gene-0.5-mRNA-1	maker-SEQ_3216939-augustus-gene-0.6-mRNA-1	maker-SEQ_1533178-augustus-gene-0.4-mRNA-1	maker-SEQ_3603368-augustus-gene-0.5-mRNA-1
maker-SEQ_1763676-augustus-gene-0.4-mRNA-1	maker-SEQ_578809-augustus-gene-0.2-mRNA-1	genemark-SEQ_1737299-processed-gene-0.1-mRNA-1	maker-SEQ_3532200-augustus-gene-0.4-mRNA-1	maker-SEQ_2587824-augustus-gene-0.6-mRNA-1	augustus_masked-SEQ_1611986-processed-gene-0.5-mRNA-1	maker-SEQ_1620109-augustus-gene-0.4-mRNA-1	genemark-SEQ_1065128-processed-gene-0.3-mRNA-1	maker-SEQ_4868850-augustus-gene-0.4-mRNA-1	maker-SEQ_1605171-augustus-gene-0.5-mRNA-1	genemark-SEQ_2254613-processed-gene-0.1-mRNA-1	maker-SEQ_1499987-augustus-gene-0.2-mRNA-1	maker-SEQ_3596120-augustus-gene-0.4-mRNA-1
maker-SEQ_1763503-augustus-gene-0.5-mRNA-1	maker-SEQ_619519-augustus-gene-0.23-mRNA-1	maker-SEQ_1722216-augustus-gene-0.2-mRNA-1	maker-SEQ_3486221-augustus-gene-0.3-mRNA-1	maker-SEQ_1849093-augustus-gene-0.3-mRNA-1	maker-SEQ_1319542-augustus-gene-0.3-mRNA-1	maker-SEQ_1619395-augustus-gene-0.2-mRNA-1	maker-SEQ_1256872-augustus-gene-0.2-mRNA-1	maker-SEQ_2288789-augustus-gene-0.2-mRNA-1	maker-SEQ_1612884-augustus-gene-0.3-mRNA-1	maker-SEQ_643200-augustus-gene-0.2-mRNA-1	maker-SEQ_1491375-augustus-gene-0.3-mRNA-1	augustus_masked-SEQ_3631843-processed-gene-0.3-mRNA-1
augustus_masked-SEQ_1764039-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_609267-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_1760717-processed-gene-0.2-mRNA-1	genemark-SEQ_3534033-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_2572386-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1574349-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1613888-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1676432-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2318316-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1602055-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3211512-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1517571-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3630144-processed-gene-0.1-mRNA-1
maker-SEQ_1764039-augustus-gene-0.5-mRNA-1	maker-SEQ_609267-augustus-gene-0.38-mRNA-1	maker-SEQ_1760717-augustus-gene-0.4-mRNA-1	maker-SEQ_3534033-augustus-gene-0.4-mRNA-1	maker-SEQ_2502911-augustus-gene-0.2-mRNA-1	genemark-SEQ_1574349-processed-gene-0.1-mRNA-1	maker-SEQ_1613888-augustus-gene-0.4-mRNA-1	maker-SEQ_1546675-augustus-gene-0.2-mRNA-1	maker-SEQ_4691393-augustus-gene-0.3-mRNA-1	maker-SEQ_1602055-augustus-gene-0.4-mRNA-1	maker-SEQ_3211512-augustus-gene-0.4-mRNA-1	maker-SEQ_1517571-augustus-gene-0.5-mRNA-1	maker-SEQ_3630144-augustus-gene-0.6-mRNA-1
